artist,album,track_name,energy,valence,danceability,speechiness,acousticness,popularity,duration
RAF Camora,In meiner Zone 2.0,In meiner Zone 2.0,0.575,0.501,0.653,0.339,0.677,51,178.465
8 Kambarys,Manęs Nesužavėjai,Manęs Nesužavėjai,0.538,0.57,0.815,0.0776,0.22,35,204.279
Chillies,Và Thế Là Hết,Và Thế Là Hết,0.307,0.329,0.544,0.0263,0.814,55,291.651
Manuel Medrano,Manuel Medrano,Una y Otra Vez,0.481,0.376,0.42,0.027,0.276,68,190.606
Jvst Fly,Cura,Cura,0.571,0.512,0.647,0.0695,0.714,49,225.788
WOS,Caravana,FRESCO,0.807,0.806,0.782,0.162,0.441,68,170.302
Landy,Assa Baing,Le temps,0.614,0.315,0.709,0.0406,0.0558,38,200.533
Alan Walker,"Alone, Pt. II","Alone, Pt. II",0.668,0.608,0.67,0.0422,0.536,84,179.053
WATEVA,Rear View Mirror,Rear View Mirror,0.617,0.678,0.811,0.0417,0.0482,43,165.138
GDRN,Hvað ef,Lætur mig,0.361,0.426,0.731,0.0588,0.0265,39,225.26
Marília Mendonça,"Todos Os Cantos, Vol. 3 (ao Vivo)",Abandono de Incapaz - Ao Vivo,0.721,0.848,0.594,0.103,0.0855,66,159.499
Bloody Hawk,Ftanoume,Ftanoume,0.512,0.278,0.641,0.391,0.431,41,202
The FifthGuys,I'll Change,I'll Change,0.819,0.665,0.559,0.0571,0.00161,38,210.75
Anis Don Demina,1+1 (feat. Råsa),1+1 (feat. Råsa),0.699,0.286,0.62,0.175,0.541,55,246.827
DJ Khaled,Father Of Asahd,Just Us (feat. SZA),0.859,0.566,0.639,0.147,0.135,67,221.379
Nicki Nicole,Recuerdos,Años Luz,0.161,0.39,0.604,0.104,0.772,66,193.247
Luke Combs,What You See Is What You Get,All Over Again,0.85,0.561,0.5,0.0812,0.00563,51,208.88
ONE OK ROCK,Eye of the Storm,Change,0.729,0.34,0.493,0.0434,0.00225,50,176.947
Moonkey,Blood (Remix),Blood - Remix,0.75,0.432,0.779,0.163,0.138,60,276.004
teamwork.,Afterhours,Afterhours,0.52,0.763,0.718,0.0472,0.0769,50,205.36
Luis Fonsi,Sola,Sola,0.526,0.474,0.569,0.359,0.506,61,205.467
Gunna,Drip or Drown 2,Baby Birkin,0.649,0.629,0.848,0.315,0.232,72,181.948
Vald,Ce monde est cruel,No Friends,0.875,0.448,0.606,0.359,0.379,53,215.12
Sarah Dawn Finer,Winterland,Kärleksvisan,0.147,0.36,0.287,0.0349,0.936,53,267.36
Jon Pardi,California Sunrise,Night Shift,0.754,0.73,0.63,0.0284,0.0963,74,172.253
Jenna Alexa,Armageddon,Armageddon,0.626,0.408,0.626,0.037,0.0782,35,208.907
Vũ.,Vu Tru Song Song,Rơi Quá Khứ,0.608,0.386,0.664,0.0411,0.245,0,368
Tory Lanez,Chixtape 5,Beauty In The Benz (feat. Snoop Dogg),0.517,0.445,0.72,0.369,0.199,63,237.452
Sael,Rompe el Party (Remix),Rompe el Party - Remix,0.744,0.632,0.769,0.271,0.135,55,207.673
Bizzey,Tido,S/O naar de...,0.64,0.647,0.762,0.0785,0.0788,0,156.821
Paluch,Czerwony Dywan,Pudle,0.675,0.283,0.625,0.199,0.423,50,205.844
Hatari,Neysluvara - EP,X,0.842,0.458,0.671,0.0931,8.4e-4,36,215.593
Larry,Gaz,Gaz,0.748,0.381,0.924,0.188,0.174,57,209.667
Ghali,Flashback,Flashback,0.568,0.239,0.775,0.0657,0.099,21,217
Oscu,Santa - Remix,Santa - Remix,0.522,0.614,0.841,0.0801,0.471,65,263.567
Wac Toja,Chili Hot,Chili Hot,0.809,0.42,0.52,0.428,0.239,44,167.442
Vegedream,Ategban,Personne,0.746,0.732,0.827,0.0351,0.238,57,232.307
Bill Withers,Menagerie,Lovely Day,0.651,0.706,0.69,0.0324,0.292,75,254.56
Ammy Virk,Haaye Ve - Single,Haaye ve,0.589,0.367,0.569,0.0314,0.186,59,215.593
Dudi Buzaglo,לילה,לילה,0.7,0.812,0.653,0.208,0.0939,31,178.906
Dadju,Poison Ou Antidote,Mémoire courte,0.708,0.744,0.724,0.141,0.189,5,220.44
Morad,M. D. L. R,M.D.L.R,0.542,0.341,0.701,0.04,0.147,58,218.018
Carlos Vives,Cumbiana,No Te Vayas,0.923,0.542,0.595,0.0551,0.044,55,225.48
Souf,Ça c'est fait,Ça c'est fait,0.739,0.579,0.748,0.0508,0.425,57,200.673
Stormzy,Vossi Bop (Remix) [feat. Aden x Asme],Vossi Bop (Remix) [feat. Aden x Asme],0.635,0.366,0.7,0.239,0.0832,56,155.28
Artigeardit,Stensikker,Stensikker,0.611,0.572,0.765,0.358,0.0811,50,158.454
Didi Kempot,Kasmaran,Suket Teki,0.661,0.867,0.706,0.0255,0.486,59,281
ABREU,Teipillä tai rakkaudella,Sytyn,0.804,0.74,0.626,0.0504,0.0843,51,187.732
Jam Hsiao,欲望反光,讓我為你唱情歌,0.682,0.42,0.377,0.0312,0.0905,59,251
Sip€lga 14,Traplaif,Usain Bolt,0.44,0.186,0.677,0.112,0.0787,28,239.998
El Alfa,Dembo$$,Dembow y Reggaeton,0.89,0.672,0.898,0.0599,0.38,55,249.744
Os Barões Da Pisadinha,Você Não Me Deu Moral,Chupadinha,0.844,0.967,0.723,0.0402,0.646,68,150.047
Marion Jola,Pergi Menjauh,Pergi Menjauh,0.346,0.203,0.575,0.028,0.726,49,200.127
ICEKIID,Stamina,Stamina,0.704,0.196,0.808,0.0403,0.00631,44,163.604
Bonez MC,Roadrunner,Roadrunner,0.607,0.25,0.795,0.23,0.128,82,149.028
El Villano,DJ,DJ,0.832,0.519,0.622,0.0438,0.154,49,179.758
Sima,Bombím,Ludra,0.641,0.679,0.815,0.288,0.598,36,146
Yungen,Project Purple,Comfortable (feat. Dappy),0.649,0.517,0.618,0.243,0.202,51,227.6
