id,track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity,album
10QtlJjHSPW5liaoTzOBeL,21,Dzsúdló,0.754,0.654,5,-5.994,1,0.229,0.453,0,0.11,0.305,85.026,audio_features,spotify:track:10QtlJjHSPW5liaoTzOBeL,https://api.spotify.com/v1/tracks/10QtlJjHSPW5liaoTzOBeL,https://api.spotify.com/v1/audio-analysis/10QtlJjHSPW5liaoTzOBeL,163434,4,41,Fotofóbia
2iikrNErUXVZ9dgWzNHGsQ,Spanom,Dzsúdló,0.675,0.649,8,-5.507,1,0.0509,0.399,0,0.157,0.436,88.076,audio_features,spotify:track:2iikrNErUXVZ9dgWzNHGsQ,https://api.spotify.com/v1/tracks/2iikrNErUXVZ9dgWzNHGsQ,https://api.spotify.com/v1/audio-analysis/2iikrNErUXVZ9dgWzNHGsQ,211023,4,43,Fotofóbia
7L1hQz6lpfdskdWNbsBg4L,Hiszti,Dzsúdló,0.786,0.639,4,-8.218,1,0.186,0.581,0,0.182,0.564,130.074,audio_features,spotify:track:7L1hQz6lpfdskdWNbsBg4L,https://api.spotify.com/v1/tracks/7L1hQz6lpfdskdWNbsBg4L,https://api.spotify.com/v1/audio-analysis/7L1hQz6lpfdskdWNbsBg4L,156923,4,41,Fotofóbia
3gpVQnYjjGBSx30Cp5L5Fa,Minden,Dzsúdló,0.813,0.467,7,-8.521,1,0.239,0.222,5.2e-4,0.111,0.42,145.033,audio_features,spotify:track:3gpVQnYjjGBSx30Cp5L5Fa,https://api.spotify.com/v1/tracks/3gpVQnYjjGBSx30Cp5L5Fa,https://api.spotify.com/v1/audio-analysis/3gpVQnYjjGBSx30Cp5L5Fa,198621,4,39,Fotofóbia
1AkLB3cW1waV2VVNCa6uRs,Melletted,Halott Pénz,0.831,0.808,9,-4.726,1,0.231,0.171,0,0.0371,0.712,97.011,audio_features,spotify:track:1AkLB3cW1waV2VVNCa6uRs,https://api.spotify.com/v1/tracks/1AkLB3cW1waV2VVNCa6uRs,https://api.spotify.com/v1/audio-analysis/1AkLB3cW1waV2VVNCa6uRs,160825,4,46,Melletted
41Wy2O8jbJH6SrIT2Ta2JP,Reggel,Dzsúdló,0.821,0.468,4,-7.185,0,0.0845,0.557,0,0.279,0.178,92.997,audio_features,spotify:track:41Wy2O8jbJH6SrIT2Ta2JP,https://api.spotify.com/v1/tracks/41Wy2O8jbJH6SrIT2Ta2JP,https://api.spotify.com/v1/audio-analysis/41Wy2O8jbJH6SrIT2Ta2JP,232258,4,38,Fotofóbia
71ZxemjmTuwsjZHc6QPVqf,Sprint,Dzsúdló,0.841,0.537,3,-5.671,0,0.0744,0.452,0,0.11,0.662,135.127,audio_features,spotify:track:71ZxemjmTuwsjZHc6QPVqf,https://api.spotify.com/v1/tracks/71ZxemjmTuwsjZHc6QPVqf,https://api.spotify.com/v1/audio-analysis/71ZxemjmTuwsjZHc6QPVqf,144000,4,38,Fotofóbia
45AvPinX8kjSMTyWKvO0H0,Nyugi,Dzsúdló,0.761,0.391,5,-9.229,1,0.0557,0.527,1.86e-4,0.111,0.282,146.003,audio_features,spotify:track:45AvPinX8kjSMTyWKvO0H0,https://api.spotify.com/v1/tracks/45AvPinX8kjSMTyWKvO0H0,https://api.spotify.com/v1/audio-analysis/45AvPinX8kjSMTyWKvO0H0,134795,4,39,Fotofóbia
1VKtyRrsjUC7IhheGw70QT,Gyere be,Dzsúdló,0.939,0.642,5,-5.007,1,0.0603,0.0264,0,0.0652,0.539,120,audio_features,spotify:track:1VKtyRrsjUC7IhheGw70QT,https://api.spotify.com/v1/tracks/1VKtyRrsjUC7IhheGw70QT,https://api.spotify.com/v1/audio-analysis/1VKtyRrsjUC7IhheGw70QT,140000,4,38,Fotofóbia
14uX9zyWAdKhKc4QWqez1Y,Hajnal,Dzsúdló,0.912,0.574,9,-3.104,1,0.121,0.371,2.16e-5,0.0609,0.219,110.02,audio_features,spotify:track:14uX9zyWAdKhKc4QWqez1Y,https://api.spotify.com/v1/tracks/14uX9zyWAdKhKc4QWqez1Y,https://api.spotify.com/v1/audio-analysis/14uX9zyWAdKhKc4QWqez1Y,188727,4,39,Fotofóbia
361EamWYN312TFEpgNBDTE,Élnünk Kellett Volna,Halott Pénz,0.653,0.935,10,-5.785,1,0.0955,0.0203,0,0.154,0.572,122.093,audio_features,spotify:track:361EamWYN312TFEpgNBDTE,https://api.spotify.com/v1/tracks/361EamWYN312TFEpgNBDTE,https://api.spotify.com/v1/audio-analysis/361EamWYN312TFEpgNBDTE,220328,4,44,Élnünk Kellett Volna
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-5,0.0602,0.648,169.977,audio_features,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,202333,4,83,Blurryface
426utyJ4B1l4vi5i5ULU5k,Stack It Up (feat. A Boogie Wit da Hoodie),Liam Payne,0.743,0.812,7,-3.069,1,0.132,0.153,0,0.0713,0.606,100.05,audio_features,spotify:track:426utyJ4B1l4vi5i5ULU5k,https://api.spotify.com/v1/tracks/426utyJ4B1l4vi5i5ULU5k,https://api.spotify.com/v1/audio-analysis/426utyJ4B1l4vi5i5ULU5k,165710,4,66,LP1
4ZyFAJmzrLeH4aWcQYsRqT,AZ UTOLSÓ REAL,LMEN PRALA,0.837,0.698,8,-6.619,1,0.165,0.551,0,0.204,0.812,140,audio_features,spotify:track:4ZyFAJmzrLeH4aWcQYsRqT,https://api.spotify.com/v1/tracks/4ZyFAJmzrLeH4aWcQYsRqT,https://api.spotify.com/v1/audio-analysis/4ZyFAJmzrLeH4aWcQYsRqT,202286,4,42,AZ UTOLSÓ REAL
1fOM742Wh4vJvKLvwCK4tu,Ölelni szavakkal,Wellhello,0.476,0.552,9,-9.483,0,0.037,0.464,0,0.0854,0.398,160.331,audio_features,spotify:track:1fOM742Wh4vJvKLvwCK4tu,https://api.spotify.com/v1/tracks/1fOM742Wh4vJvKLvwCK4tu,https://api.spotify.com/v1/audio-analysis/1fOM742Wh4vJvKLvwCK4tu,191000,4,42,Ölelni szavakkal
1X0AvW2wtoDeuluMYqJMdH,Háborgó mélység 2,Lotfi Begi,0.79,0.843,7,-4.97,0,0.0502,0.369,3.62e-6,0.0927,0.54,117.974,audio_features,spotify:track:1X0AvW2wtoDeuluMYqJMdH,https://api.spotify.com/v1/tracks/1X0AvW2wtoDeuluMYqJMdH,https://api.spotify.com/v1/audio-analysis/1X0AvW2wtoDeuluMYqJMdH,187119,4,49,Háborgó mélység 2
5PHgY9VKDWLk5YNA1bKw9f,Tavasz,Follow The Flow,0.686,0.665,0,-6.684,1,0.2,0.0338,1.38e-5,0.0704,0.228,87.032,audio_features,spotify:track:5PHgY9VKDWLk5YNA1bKw9f,https://api.spotify.com/v1/tracks/5PHgY9VKDWLk5YNA1bKw9f,https://api.spotify.com/v1/audio-analysis/5PHgY9VKDWLk5YNA1bKw9f,196417,4,51,Tavasz
3ODqW3BpvZX3DqN36hQWVs,Feküdj ide,ByeAlex és a Slepp,0.726,0.687,8,-6.933,0,0.0744,0.461,0,0.11,0.308,78.986,audio_features,spotify:track:3ODqW3BpvZX3DqN36hQWVs,https://api.spotify.com/v1/tracks/3ODqW3BpvZX3DqN36hQWVs,https://api.spotify.com/v1/audio-analysis/3ODqW3BpvZX3DqN36hQWVs,151139,4,48,Feküdj ide
1aLvTtK5BIJ9FSaKiOFfba,Lonely,Hundred Sins,0.46,0.841,11,-6.595,0,0.0428,0.0428,0,0.279,0.564,119.988,audio_features,spotify:track:1aLvTtK5BIJ9FSaKiOFfba,https://api.spotify.com/v1/tracks/1aLvTtK5BIJ9FSaKiOFfba,https://api.spotify.com/v1/audio-analysis/1aLvTtK5BIJ9FSaKiOFfba,184000,4,42,Lonely
2wVDWtLKXunswWecARNILj,SOLO,JENNIE,0.751,0.642,3,-5.165,0,0.087,0.0861,0,0.0953,0.388,95.045,audio_features,spotify:track:2wVDWtLKXunswWecARNILj,https://api.spotify.com/v1/tracks/2wVDWtLKXunswWecARNILj,https://api.spotify.com/v1/audio-analysis/2wVDWtLKXunswWecARNILj,169567,4,71,SOLO
2rPE9A1vEgShuZxxzR2tZH,"thank u, next",Ariana Grande,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,audio_features,spotify:track:2rPE9A1vEgShuZxxzR2tZH,https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH,https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH,207333,4,14,"thank u, next"
1c5ZiOfMbDBHKRNuMfinOb,Selow,Wahyu Selow,0.626,0.573,2,-5.349,1,0.13,0.601,0,0.0872,0.869,159.828,audio_features,spotify:track:1c5ZiOfMbDBHKRNuMfinOb,https://api.spotify.com/v1/tracks/1c5ZiOfMbDBHKRNuMfinOb,https://api.spotify.com/v1/audio-analysis/1c5ZiOfMbDBHKRNuMfinOb,216989,4,56,Selow
2dr6ZMyjUfzjAzDZJsRKtE,Kemarin,Seventeen,0.324,0.32,5,-8.976,0,0.0341,0.0497,0,0.31,0.126,131.853,audio_features,spotify:track:2dr6ZMyjUfzjAzDZJsRKtE,https://api.spotify.com/v1/tracks/2dr6ZMyjUfzjAzDZJsRKtE,https://api.spotify.com/v1/audio-analysis/2dr6ZMyjUfzjAzDZJsRKtE,242027,4,51,Pantang Mundur
52AWJPKuELTY9TjwHzXuhl,Berpisah Itu Mudah,Rizky Febian,0.682,0.562,2,-5.844,1,0.0292,0.335,4.87e-6,0.133,0.643,115.998,audio_features,spotify:track:52AWJPKuELTY9TjwHzXuhl,https://api.spotify.com/v1/tracks/52AWJPKuELTY9TjwHzXuhl,https://api.spotify.com/v1/audio-analysis/52AWJPKuELTY9TjwHzXuhl,240022,4,29,Berpisah Itu Mudah
2CWnuF7ht55Ajyeg4WPvWu,DDU-DU DDU-DU - KR Ver.,BLACKPINK,0.665,0.86,4,-3.921,0,0.0761,0.0322,0,0.281,0.372,139.973,audio_features,spotify:track:2CWnuF7ht55Ajyeg4WPvWu,https://api.spotify.com/v1/tracks/2CWnuF7ht55Ajyeg4WPvWu,https://api.spotify.com/v1/audio-analysis/2CWnuF7ht55Ajyeg4WPvWu,209355,4,55,SQUARE UP
0hXshgMyFiHVNlnSzMikGn,Jangan,Marion Jola,0.416,0.673,0,-5.283,1,0.0628,0.205,0,0.112,0.758,94.999,audio_features,spotify:track:0hXshgMyFiHVNlnSzMikGn,https://api.spotify.com/v1/tracks/0hXshgMyFiHVNlnSzMikGn,https://api.spotify.com/v1/audio-analysis/0hXshgMyFiHVNlnSzMikGn,232421,4,54,Jangan
